#############################################;;;;;;;;;;;;;;x
enact_triple_monarchy_title;South-Slav Compromise;;;;;;;;;;;;;x
enact_triple_monarchy_desc;Trialism in Austria-Hungary was a movement started by the nobility of Austria-Hungary in the latter half of the 19th century to raise the South-Slavs to equal status as the Germans and Hungarians. The creation of a third crown will greatly increase stability in the Habsburg realm and lower tensions with Yugoslav nationalists. Although greatly opposed by the Hungarian part of the nation, these reforms are necessary to the realm's survival.;;;;;;;;;;;;;x
texan_intervention_title;Texan Intervention;;;;;;;;;;;;;x
texan_intervention_desc;Our fellow Dixie's are fighting for their rights against the tyrannical Mexican government. We must save our Texan brothers from the Mexicans by incorporating them into the Confederacy, even if it risks war with Mexico!;;;;;;;;;;;;;x
caribeno_accepted_title;Accept the Caribenos;;;;;;;;;;;;;x
caribeno_accepted_desc;The Caribeno people are very similar to our slave ruling Dixies at home, we should incorporate Cuba fully into the Confederacy through the granting of statehood!;;;;;;;;;;;;;x
caribeno_SPA_title;Accept the Caribenos;;;;;;;;;;;;;x
caribeno_SPA_desc;In order to keep order in our new home of Cuba, we must redraw the racial hierachy to make Caribenos equal to Spaniards!;;;;;;;;;;;;;x
claim_flanders_title;Claim Flanders;;;;;;;;;;;;;x
claim_flanders_desc;Although the Dutchmen below the Rhine are Catholics claimed by the French Empire, we must march south to liberate our fellow Dutchmen from the oppressive hand of France.;;;;;;;;;;;;;x
scottish_acceptance_title;Scottish Acceptance;;;;;;;;;;;;;x
scottish_acceptance_desc;Despite the house of Hanover being exiled decades ago, the loyalist Scots have remained fierce in their resistance to Parliament. After our clashes with the former British Crown, we have firmly eradicated all hope of a Monarchist return, the Scots have no choice but to acknowledge the legitimate British government.;;;;;;;;;;;;;x
scottish_acceptance_desc;Despite the house of Hanover was exiled decades ago, the loyalist Scots have remained fierce in their resistance to Parliament. After our clashes with the former British Crown, we have firmly eradicated all hope of a Monarchist return, the Scots have no choice but to acknowledge the legitimate British government.;;;;;;;;;;;;;x
ningbo_treaty_port_title;The Ningbo Treaty Port;;;;;;;;;;;;;x
ningbo_treaty_port_desc;Ningbo is one of China's oldest cities, with a history dating to the Hemudu culture in 4800 BC. Ningbo was known as a trade city on the silk road at least two thousand years ago, and then as a major port, along with Yangzhou and Guangzhou in the Tang Dynasty, thereafter, the major ports for foreign trade in the Song Dynasty. A walled city sandwiched between the ocean and low-lying mountains to the southwest, with coastal plain and valleys in between, it plays an important role in controlling the important peninsulas of Chuanshan and Xiangshan Peninsula. During the Ming and Qing Dynasties, the textile industry flourished in Ningbo.;;;;;;;;;;;;;x
hainan_treaty_port_title;The Hainan Treaty Port;;;;;;;;;;;;;x
hainan_treaty_port_desc;The city of Zhuya (Shore of Pearls), name for the famous pearl fisheries of the region, now known as Qiongshan is an important stop to Shanghai and Formosa. Controlling it would give control over all of Hainan and would make an important coaling station.;;;;;;;;;;;;;x
taipei_treaty_port_title;The Taiwan Concession;;;;;;;;;;;;;x
taipei_treaty_port_desc;The Taipei area is where the major Han Chinese settlements in northern Taiwan and one of the designated overseas trade ports, Tamsui, are located. The area gained economic importance due to the booming overseas trade, especially that of tea export. Controlling it would mean controlling Taiwan and a good amount of the tea trade.;;;;;;;;;;;;;x
jiaxing_treaty_port_title;The Jiaxing Treaty Port;;;;;;;;;;;;;x
jiaxing_treaty_port_desc;Jiaxing is well known as the 'hometown of silk' and it's a famous producer of textiles and woolens. While not being as important as neighboring Shanghai, its acquisition would surely help our textile industry.;;;;;;;;;;;;;x
